Position,count,percentage
Centrocampista,1876,31.70525604191313
Centrocampista offensivo,851,14.382288321784689
Centrocampista difensivo,1231,20.804461720466453
Esterno sinistro,922,15.58222071995944
Mediano destro,48,0.8112219029913807
Esterno destro,945,15.970931215142809
Mediano sinistro,44,0.743620077742099
