Player Name,Overall,Position,prediction,distanceFromCenter
Jamie McCombe,53,CB,0,15731.834067452131
Jannik Vestergaard,80,CB,0,13916.491568658113
Ron Vlaar,74,CB,0,11989.84805683949
Anderson Lu�s da Silva,78,CB,0,11780.60107179366
Kostas Manolas,86,CB,0,11578.46600184673
Alan Bennett,62,CB,0,11550.110478450688
Federico Fazio,83,CB,0,11337.623744249044
Marcin Wasilewski,70,CB,0,11269.97154936241
Steven de Sousa Vit�ria,66,CB,0,11182.514723506161
Cristian Lema,74,CB,0,11169.733729777265
