Player Name,Overall,Position,prediction,distanceFromCenter
Manuel Neuer,91,GK,2,11219.161556842395
Nelson Ramos,67,GK,2,10509.625570885693
Ederson Santana de Moraes,87,GK,2,9771.175015005063
David De Gea Quintana,91,GK,2,9419.017613015594
Tiago Luis Volpi,78,GK,2,9124.275073518815
Claudio Bravo,80,GK,2,8359.839146075865
Hugo Lloris,89,GK,2,8205.964365502428
Jonathan Orozco,76,GK,2,8045.931012664512
Yuki Uekusa,56,GK,2,7638.038677965857
Vanja Milinkovic-Savic,71,GK,2,7508.905266614189
