Player Name,Overall,Position,prediction,distanceFromCenter
Luis Su�rez,92,Attaccante,2,15488.695693728243
Gareth Bale,89,Ala destra,2,14665.294730716636
Antoine Griezmann,90,Attaccante,2,14526.463476612902
Harry Kane,90,Attaccante,2,14486.575973877072
Philippe Coutinho Correia,89,Ala sinistra,2,14263.620622596705
Kevin De Bruyne,92,Centrocampista offensivo,2,13683.424956148896
Christian Eriksen,89,Centrocampista offensivo,2,13575.196897492739
James Rodr�guez,89,Centrocampista offensivo,2,13494.963586046035
Edinson Cavani,90,Attaccante,2,13221.750191430147
Alexis S�nchez,88,Ala sinistra,2,12748.292104321366
