Player Name,Overall,Position,prediction,distanceFromCenter
Luis Su�rez,92,ST,3,15544.703957673393
Gareth Bale,89,RW,3,14715.182919958112
Antoine Griezmann,90,ST,3,14576.400273348128
Harry Kane,90,ST,3,14540.439514682328
Philippe Coutinho Correia,89,LW,3,14315.756061444918
Kevin De Bruyne,92,CAM,3,13739.667114420723
Christian Eriksen,89,CAM,3,13628.32375274642
James Rodr�guez,89,CAM,3,13552.730118562862
Edinson Cavani,90,ST,3,13268.678232798744
Alexis S�nchez,88,LW,3,12797.094626956145
