Player Name,Overall,Position,prediction,distanceFromCenter
Jamie McCombe,53,Difensore centrale,3,15786.152323156777
Jannik Vestergaard,80,Difensore centrale,3,13913.431113943732
Ron Vlaar,74,Difensore centrale,3,11987.92967440438
Anderson Lu�s da Silva,78,Difensore centrale,3,11785.522284769062
Alan Bennett,62,Difensore centrale,3,11594.256449836244
Kostas Manolas,86,Difensore centrale,3,11576.28716000899
Federico Fazio,83,Difensore centrale,3,11340.125451755632
Marcin Wasilewski,70,Difensore centrale,3,11269.595221429336
Steven de Sousa Vit�ria,66,Difensore centrale,3,11180.516046765228
Cristian Lema,74,Difensore centrale,3,11173.992054442771
